headline,category
public show for reynolds portrait sir joshua reynolds  portrait of omai will get a public airing following fears it would stay hidden because of an export wrangle.  the tate gallery unsuccessfully tried to buy the picture from its anonymous owner after a ban was issued preventing the painting from leaving the uk. the 18th century painting has remained in storage but the owner has agreed to allow it to be part of an exhibition. the exhibition of reynolds  work will be shown at tate britain from may. joshua reynolds: the creation of celebrity will feature prints  caricatures  and sculpture by the 18th century artist  who painted some of the most famous personalities of his day. portrait of omai fetched the second highest amount for a british painting when it was sold at auction for £10.3m in 2001. it was bought by a london dealer who sold it on to a collector. the unnamed collector wanted to take it out of the country  but was barred from doing so by the government because of its historical significance.  in march 2004  the tate managed to raise £12.5m funding to buy the portrait but the owner refused to sell and it has been held in storage since. the portrait is of a young man who was dubbed  the noble savage  when he arrived in london from polynesia. he became a darling of london society and was invited to all the best parties by people who were fascinated by such an exotic character. sir joshua painted him after his arrival in 1774  and it became the artist s most famous work after it was first exhibited at the royal academy in 1776.,entertainment
japan narrowly escapes recession japan s economy teetered on the brink of a technical recession in the three months to september  figures show.  revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter. on an annual basis  the data suggests annual growth of just 0.2%  suggesting a much more hesitant recovery than had previously been thought. a common technical definition of a recession is two successive quarters of negative growth.  the government was keen to play down the worrying implications of the data.  i maintain the view that japan s economy remains in a minor adjustment phase in an upward climb  and we will monitor developments carefully   said economy minister heizo takenaka. but in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead  observers were less sanguine.  it s painting a picture of a recovery... much patchier than previously thought   said paul sheard  economist at lehman brothers in tokyo. improvements in the job market apparently have yet to feed through to domestic demand  with private consumption up just 0.2% in the third quarter.,business
'True Detective' ends season with ratings high,entertainment
el guerrouj targets cross country double olympic champion hicham el guerrouj is set to make a rare appearance at the world cross country championships in france.  but the moroccan  who has not raced over cross country for 15 years  will not decide until two weeks before the event which starts on 19 march.  if i am to compete in it  it is only if i feel i can win   said the 30-year-old  who is retiring in 2006.  otherwise there is not much point in me going.  el guerrouj achieved a lifetime ambition last august when he clinched his first olympic titles over 1500m and 5 000m. but the four-time world 1500m champion is still hungry for more success before calling time on his career. the 30-year-old has set his sights on clinching the world 5 000m crown in helsinki this summer. and he is aiming to break 10 000m olympic champion kenenisa bekele s 5 000m and 10 000m world records.  el guerrouj could meet bekele in march as the ethiopian is the defending world cross country champion over both the long and short courses. but the moroccan will not commit himself to the st galmier event until he assesses how well his winter training is going.  the return to training was very difficult because i accepted a lot of invitations these past few months   said el guerrouj.  i am almost a month behind but i am on the right track.     - britain s paula radcliffe has also not ruled out competing in the world cross country championships.  i haven t quite decided what events i will compete in prior to london but the world cross country is an event which is also special to me and is a definite possibility   said the two-time champion.,sports
slowdown hits us factory growth us industrial production increased for the 21st month in a row in february  but at a slower pace than in january  official figures show.  the institute for supply management (ism) index fell to 55.3 in february  from an adjusted 56.4 in january. although the index was lower than in january  the fact that it held above 50 shows continued growth in the sector.  february was another good month in the manufacturing sector   said ism survey chairman norbert ore.   while the overall rate of growth is slowing  the overall picture is improving as price increases and shortages are becoming less of a problem. exports and imports remain strong   he said. analysts had expected february s figure to be stronger than january s and come in at 57. of the 20 manufacturing sectors surveyed by ism  13 reported growth. they included the textiles  apparel  tobacco  chemicals and transportation sectors. the ism s index of national manufacturing activity is compiled from the responses of purchasing executives at more than 400 industrial companies.,business
" Patient was referred for a neuropsychological evaluation after a recent hospitalization for possible transient ischemic aphasia.  Two years ago, a similar prolonged confusional spell was reported as well.  A comprehensive evaluation was requested to assess current cognitive functioning and assist with diagnostic decisions and treatment planning.",medical
boeing unveils new 777 aircraft us aircraft firm boeing has unveiled its new long-distance 777 plane  as it tries to regain its position as the industry s leading manufacturer.  the 777-200lr will be capable of flying almost 11 000 miles non-stop  linking cities such as london and sydney. boeing  in contrast to european rival airbus  hopes airlines will want to fly smaller aircraft over longer distances. airbus  which overtook boeing as the number one civilian planemaker in 2003  is focusing on so-called super jumbos.  analysts are divided over which approach is best and say that this latest tussle between boeing and airbus may prove to be a defining moment for the airline industry. boeing plans to offer twin-engine planes that are able to fly direct to many of the world s airports  getting rid of the need for connecting flights.  it is banking on smaller  slimmer planes such as the 777-200lr and its much-anticipated 787 dreamliner plane  which is set to take to the skies in 2008. the 777-200lr  which had its launch delayed by the 11 september attacks in the us  is the fifth variation of boeing s twin-aisle 777 plane. the company offically  rolled-out  the new 777 in seattle at 2200 gmt. better fuel efficiency from engines made by ge and lighter materials mean that the plane can connect almost any two cities worldwide.   boeing has the latest variant in a very successful line of airplanes and there is no doubt it will continue to be very successful   said david learmount  operations and safety editor at industry magazine flight international. but the 777-200lr  is a niche player   mr learmount continued  adding that reach was not the only criteria airlines used when picking their aircraft. mr learmount pointed out that the 777-200lr has been on the market for a couple of years and only had limited success at attracting orders. he also said that while the plane may be able to fly to sydney from london in one hit  prevailing winds meant that it would have to stop somewhere on the return journey.  for airbus  the future is big - it is pinning its hopes on planes that can carry as many as 840 people between large hub airports. from there  passengers would be ferried to their final destinations by smaller planes. airbus is also keeping its options open and plans to compete in all the main categories of aircraft. it has been producing a rival to boeing s 777 line for more than a year.  airbus is now where boeing was a few years ago  with its product range  said flight international s mr learmount.  both boeing and airbus have been taking orders for their new planes. boeing said it expected to sell about 500 of its 777-200lr planes over the next 20 years. it already has orders from pakistan international airlines and eva of taiwan. these orders should help underpin the company s profits. boeing said earnings during the last three months of 2004 dropped by 84% because of costs relating to stopping production of its smallest airliner  the 717  and the cancellation of a us air force 767 tanker contract. net profit was $186m (£98m; 143m euros) in the quarter  compared with $1.13bn in the same period in 2003.,business
solutions to net security fears fake bank e-mails  or phishing  and stories about id theft are damaging the potential of using the net for online commerce  say e-business experts.  trust in online security is falling as a result. almost 70% of those asked in a poll said that net firms are not doing enough to protect people. the survey of more than 1 000 people reported that 43% were not willing to hand over personal information online. it is worrying for shopaholics and firms who want to exploit the net. more people are becoming aware of online security issues but they have little confidence that companies are doing enough to counter the threats  said security firm rsa  which carried out the poll. an estimated 12 million britons now use the net as a way of managing their financial affairs. security experts say that scare stories and the vulnerabilities dogging e-commerce and e-banking are being taken seriously - by banks in particular.   i don t think the threat is overplayed   barry beal  global security manager for capgemini  told the bbc news website. he added:  the challenge for banks is to provide the customer with something that improves security but balances that with usability.  ensuring extra security measures are in place protects them too  as well as the individual  and it is up to both parties to make sure they do what is necessary to prevent fraud  he said.  card issuers will keep us informed of types of attacks and what procedure to take to protect ourselves. if we do that  they will indemnify us   he said. many believe using login details like usernames and passwords are simply not good enough anymore though. one of the biggest challenges to improving security online is how to authenticate an individual s identity. several security companies have developed methods which complement or replace passwords  which are easily compromised and easy to forget. last year  a street survey found that more than 70% of people would reveal their password for a bar of chocolate.  on average  people have to remember four different passwords. some resort to using the same one for all their online accounts. those who use several passwords often write them down and hide them in a desk or in a document on their computer. in a separate survey by rsa  80% said they were fed up with passwords and would like a better way to login to work computer systems. for many  the ideal is a single online identity that can be validated once with a series of passwords and questions  or some biometric measurement like a fingerprint or iris scan with a token like a smartcard.  activcard is just one of the many companies  like rsa security  which has been trying to come up with just that. rsa has a deal with internet provider aol that lets people pay monthly for a one-time passcode generation service. users get a physical token which automatically generates a code which stays active for 60 seconds. many companies use a token-based method already for employees to access networks securely already. activcard s method is more complex. it is currently trailing its one-time passcode generation technology with uk banks. steve ash  from activcard  told the bbc news website there are two parts to the process of identification. the most difficult is to ascertain whether an individual is who they say they are when they are online.   the end solution is to provide a method where you combine something the user knows with something they have and present those both.  the method it has developed makes use of the chip embedded in bank cards and a special card reader which can generate unique codes that are active for a specified amount of time. this can be adjusted at any time and can be active for as little as 30 seconds before it changes. it combines that with usual usernames and passwords  as well as other security questions.  you take the card  put it in the reader  enter your pin number  and a code is given.  if you wanted then to transfer funds  for instance  you would have to have the code to authorise the transaction.  the clever bit happens back at the bank s secure servers. the code is validated by the bank s systems  matching the information they expect with the customer s unique key.  each individual gets a key which is unique to them. it is a 2048-bit long number that is virtually impossible to crack   said mr ash. it means that in a typical security attack  explains mr ash  even if password information is captured by a scammer using keystroke software or just through spoof websites  they need the passcode.  by the time they go back [to use the information]  the code has expired  so they can t prove who they are   according to mr ash. in the next few years  mr ash predicts that this kind of method will be commonplace before we see biometric authentication that is acceptable for widespread use.  pcs will have readers built into them  the cost of readers will be very cheap  and more people will have the cards.  the gadgets we carry around  like personal digital assistants (pdas) and mobiles  could also have integrated card reader technology in them.  the pda or phone method is a possible alternative as people are always carrying phones around   he said.,tech
europe blames us over weak dollar european leaders have openly blamed the us for the sharp rise in the value of the euro.  us officials were talking up the dollar  they said  but failing to take action to back up their words. meeting in brussels  finance ministers of the 12 eurozone countries voiced their concern that the rise of the european currency was harming exports. the dollar is within touching distance of an all-time low reached earlier in november. at 0619 gmt on tuesday  the dollar was up slightly at just above $1.29 to the euro  and buying 105.6 yen in tokyo. it rallied briefly on monday amid signs that oil prices are easing.  but analysts said the respite was likely to be only temporary. the european ministers  comments  said junya tanase of jpmorgan chase bank in tokyo  were  generally too weak to produce a market reaction .  still  by the standards of diplomacy the european ministers were forthright. nicolas sarkozy of france said he and his colleagues were unanimous in their worry that the decline of the dollar would hit europe s economies by eating into their exports.  we are concerned about these developments  which are destabilising  and which are linked to the accumulation of deficits by our american friends   he said. the comments come a day after us treasury secretary john snow said a strong dollar was  in america s interest .  but that was not enough for mr sarkozy.   if the americans were to change their policy  it s up to them to say so   he said. and the european union s monetary affairs commissioner  made it clear that action was necessary.  i fully welcome the words of mr snow   said joaquin almunia   but we will need to see decisions adopted in that direction.  if the imbalances in the us economy are not adjusted in the future  the decision in the market will be as in the past weeks.  economists point out that whatever europe says  in the short term a weaker dollar is a boon to president george w bush s administration. not only does it boost us exports  but it also makes the budget deficit easier to fund. on the other hand  slower european exports would mean slower eu growth - potentially reducing the demand for us goods.,business
musical future for phones analyst bill thompson has seen the future and it is in his son s hands.  i bought my son max a 3g phone  partly because they are so cheap and he needed a phone  and partly because i am supposed to know about the latest technology and thought i should see how they work in real life. after using it for a while i am not at all tempted to get rid of my sonyericsson p800 smart phone. that has a relatively large screen  even if it does only have slower gprs access to the network. i can read my e-mail  surf the web using a proper browser and write stuff using the stylus on its touch screen. last week someone e-mailed me a document that had been compressed into a zip file  and i was pleasantly surprised to discover that my phone even knew how to decompress it for me. by contrast the confusing menus  complicated keyboard and truly irritating user interface of max s 3g phone simply get in the way  and i did not see much value in the paid-for services  especially the limited web access. the videos of entertainment news  horoscopes and the latest celebrity gossip did not appeal  and i did not see how the small screen could be useful for any sort of image  never mind micro-tv.  but then max started playing  and i realised i was missing the point entirely.  it is certainly not a great overall experience  but that is largely due to the poor menu system and the phone layout: the video content itself is compelling. the quality was at least as good as the video streaming from the bbc website  and the image is about the same size. max was completely captivated  and i was intrigued to discover that i had nearly missed the next stage of the network revolution. it is easy to be dismissive of small screens  and indeed anyone of my generation  with failing eyesight and the view that  there s never anything worth watching on tv   is hardly going to embrace these phones. but just as the world wide web was the  killer application  that drove internet adoption  music videos are going to drive 3g adoption. with vodafone now pushing its own 3g service  and 3 already established in the uk  video on the phone is clearly going to become a must-have for kids sitting on the school bus  adults waiting outside clubs and anyone who has time to kill and a group of friends to impress.  this will please the network operators  who are looking for some revenue from their expensively acquired 3g licences. but it goes deeper than that: playing music videos on a phone marks the beginning of a move away from the  download and play  model we have all accepted for our ipods and mp3 players. after all  why should i want to carry 60gb of music and pictures around with me in my pocket when i can simply listen to anything i want  whenever i want  streamed to my phone  oh - and of course you can always use the phone to make voice calls and send texts  something which ensures that it is always in someone s pocket or handbag  available for other uses too. i have never really approved of using the internet protocol (ip)  to do either audio or video streaming  and i think that technically it is a disaster to make phone calls over the net using  voice over ip .  but i have to acknowledge that the net  at least here in the developed western countries  is fast and reliable enough to do both.  i stream radio to my computer while i work  and enjoy hearing the bizarre stations from around the world that i can find online but nowhere else. i am even playing with internet telephony  despite my reservations  and i appear on go digital on the world service  streamed over the web each week. but 3g networks have been designed to do this sort of streaming  both for voice and video  which gives them an edge over net-based ip services. the 3g services aren t quite there yet  and there is a lot to be sorted out when it comes to web access and data charges. vodafone will let you access its services on vodafone live! as part of your subscription cost but it makes you pay by the megabyte to download from other sites - this one  for example. this will not matter to business users  but will distort the consumer market and keep people within the phone company s collection of partner sites  something that should perhaps be worrying telecoms regulator ofcom. but we should not see these new phones simply as cut-down network terminals. if i want fast access to my e-mail i can get a 3g card for my laptop or hook up to a wireless network. the phone is a lot more  and it is as a combination of mini-tv  personal communications device and music/video player that it really works. there is certainly room in the technology ecosystem for many different sorts of devices  accessing a wide range of services over different networks. 3g phones and ipods can co-exist  at least for a while  but if i had to bet on the long term i would go for content on demand over carrying gigabytes in my pocket. or perhaps some enterprising manufacturer will offer me both. an mp3g player  anyone   bill thompson is a regular commentator on the bbc world service programme go digital.,tech
